name,telescope,exptime,jd,date,chip,band,readout,filename,shapenote,note,shape
flats-0002_oiii,B&C,7.0,2460689.2095806715,2025-01-13T17:01:47.77,-1,OIII,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/flats-0002_oiii.fit,,good,2048.0
flats-0002_ha,B&C,23.0,2460689.207211111,2025-01-13T16:58:23.04,-1,Halpha,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/flats-0002_ha.fit,,good,2048.0
flats-0004_g,B&C,3.0,2460689.196113773,2025-01-13T16:42:24.23,-1,g,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/flats-0004_g.fit,,good,2048.0
flats-0004_oiii,B&C,7.0,2460689.2099894676,2025-01-13T17:02:23.09,-1,OIII,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/flats-0004_oiii.fit,,good,2048.0
flats-0002_g,B&C,7.0,2460689.1955925925,2025-01-13T16:41:39.20,-1,g,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/flats-0002_g.fit,,over,2048.0
flats-0005_r,B&C,15.0,2460689.1935086804,2025-01-13T16:38:39.15,-1,r,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/flats-0005_r.fit,,good,2048.0
flats-0006_i,B&C,25.0,2460689.1912641204,2025-01-13T16:35:25.22,-1,i,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/flats-0006_i.fit,,good,2048.0
flats-0010_g,B&C,3.0,2460689.1971056713,2025-01-13T16:43:49.93,-1,g,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/flats-0010_g.fit,,good,2048.0
flats-0008_r,B&C,13.0,2460689.194528935,2025-01-13T16:40:07.30,-1,r,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/flats-0008_r.fit,,good,2048.0
flats-0009_oiii,B&C,7.0,2460689.2110427083,2025-01-13T17:03:54.09,-1,OIII,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/flats-0009_oiii.fit,,good,2048.0
flats-0010_oiii,B&C,7.0,2460689.2112466437,2025-01-13T17:04:11.71,-1,OIII,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/flats-0010_oiii.fit,,good,2048.0
flats-0003_g,B&C,3.0,2460689.1959550926,2025-01-13T16:42:10.52,-1,g,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/flats-0003_g.fit,,good,2048.0
flats-0011_g,B&C,3.0,2460689.1972635416,2025-01-13T16:44:03.57,-1,g,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/flats-0011_g.fit,,good,2048.0
flats-0001_r,B&C,23.0,2460689.191811574,2025-01-13T16:36:12.52,-1,r,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/flats-0001_r.fit,,good,2048.0
flats-0007_oiii,B&C,7.0,2460689.210615162,2025-01-13T17:03:17.15,-1,OIII,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/flats-0007_oiii.fit,,good,2048.0
flats-0003_sii,B&C,30.0,2460689.2046805555,2025-01-13T16:54:44.40,-1,SII,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/flats-0003_sii.fit,,good,2048.0
flats-0003_i,B&C,30.0,2460689.1897975695,2025-01-13T16:33:18.51,-1,i,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/flats-0003_i.fit,,good,2048.0
flats-0005_g,B&C,3.0,2460689.196271412,2025-01-13T16:42:37.85,-1,g,500KHz,/home/phys/astronomy/zgl12/Pouakai_Test_Data/TEST/flats-0005_g.fit,,good,2048.0
