0,0.1,0.1.1,0.1.1.1,0.1.1.1.1,band,chip,dark,date,exptime,field,filename,flat,jd,maglim3,maglim5,name,raw_filename,savename,tdiff_dark,tdiff_flat,zp,zperr,Unnamed: 0
,,,,,R,3.0,/home/phys/astronomy/rri38/moa/data/master/dark/D23143-60-m-3.fits.gz,2022-09-21,60.0,Didymos,,/home/phys/astronomy/rri38/moa/data/master/flat/F2459822_60d_R_3.fits.gz,2459844.243941,,,A8350-Didymos-R-3,/home/phys/astro8/MJArchive/MOA/ALERT/2022/A8350-Didymos-R-3.fit.gz,,0.3636030000634491,22.243941000197083,,,
,,,,,R,3.0,/home/phys/astronomy/rri38/moa/data/master/dark/D23159-60-m-3.fits.gz,2022-09-27,60.0,Didymos,,/home/phys/astronomy/rri38/moa/data/master/flat/F2459822_60d_R_3.fits.gz,2459849.925435,,,A8783-Didymos-R-3,/home/phys/astro8/MJArchive/MOA/ALERT/2022/A8783-Didymos-R-3.fit.gz,,0.0322460001334548,27.92543500009924,,,
,,,,,R,3.0,/home/phys/astronomy/rri38/moa/data/master/dark/D23153-60-m-3.fits.gz,2022-09-24,60.0,Didymos,,/home/phys/astronomy/rri38/moa/data/master/flat/F2459822_60d_R_3.fits.gz,2459847.10097,,,A8710-Didymos-R-3,/home/phys/astro8/MJArchive/MOA/ALERT/2022/A8710-Didymos-R-3.fit.gz,,0.1060009999200701,25.10097000002861,,,
,,,,,R,3.0,/home/phys/astronomy/rri38/moa/data/master/dark/D23153-60-m-3.fits.gz,2022-09-24,60.0,Didymos,,/home/phys/astronomy/rri38/moa/data/master/flat/F2459822_60d_R_3.fits.gz,2459847.08586,,,A8697-Didymos-R-3,/home/phys/astro8/MJArchive/MOA/ALERT/2022/A8697-Didymos-R-3.fit.gz,,0.0908909998834133,25.08585999999196,,,
,,,,,R,3.0,/home/phys/astronomy/rri38/moa/data/master/dark/D23159-60-m-3.fits.gz,2022-09-27,60.0,Didymos,,/home/phys/astronomy/rri38/moa/data/master/flat/F2459822_60d_R_3.fits.gz,2459849.926594,,,A8784-Didymos-R-3,/home/phys/astro8/MJArchive/MOA/ALERT/2022/A8784-Didymos-R-3.fit.gz,,0.031087000388652,27.926593999844044,,,
,,,,,R,3.0,/home/phys/astronomy/rri38/moa/data/master/dark/D23153-60-m-3.fits.gz,2022-09-24,60.0,Didymos,,/home/phys/astronomy/rri38/moa/data/master/flat/F2459822_60d_R_3.fits.gz,2459847.084693,,,A8696-Didymos-R-3,/home/phys/astro8/MJArchive/MOA/ALERT/2022/A8696-Didymos-R-3.fit.gz,,0.0897240000776946,25.084693000186235,,,
,,,,,R,3.0,/home/phys/astronomy/rri38/moa/data/master/dark/D23173-15-m-3.fits.gz,2022-09-28,15.0,Didymos,,/home/phys/astronomy/rri38/moa/data/master/flat/F2459822_60d_R_3.fits.gz,2459851.196387,,,A8997-Didymos-R-3,/home/phys/astro8/MJArchive/MOA/ALERT/2022/A8997-Didymos-R-3.fit.gz,,0.025055999867618,29.196386999916285,,,
,,,,,R,3.0,/home/phys/astronomy/rri38/moa/data/master/dark/D23153-60-m-3.fits.gz,2022-09-24,60.0,Didymos,,/home/phys/astronomy/rri38/moa/data/master/flat/F2459822_60d_R_3.fits.gz,2459847.102135,,,A8711-Didymos-R-3,/home/phys/astro8/MJArchive/MOA/ALERT/2022/A8711-Didymos-R-3.fit.gz,,0.1071659997105598,25.1021349998191,,,
,,,,,R,3.0,/home/phys/astronomy/rri38/moa/data/master/dark/D23143-60-m-3.fits.gz,2022-09-21,60.0,Didymos,,/home/phys/astronomy/rri38/moa/data/master/flat/F2459822_60d_R_3.fits.gz,2459844.241201,,,A8348-Didymos-R-3,/home/phys/astro8/MJArchive/MOA/ALERT/2022/A8348-Didymos-R-3.fit.gz,,0.3608629996888339,22.241200999822468,,,
,,,,,R,3.0,/home/phys/astronomy/rri38/moa/data/master/dark/D23159-60-m-3.fits.gz,2022-09-27,60.0,Didymos,,/home/phys/astronomy/rri38/moa/data/master/flat/F2459822_60d_R_3.fits.gz,2459849.927759,,,A8785-Didymos-R-3,/home/phys/astro8/MJArchive/MOA/ALERT/2022/A8785-Didymos-R-3.fit.gz,,0.0299220001325011,27.927759000100195,,,
