name,telescope,exptime,jd,date,filename,note
Dark-000110,B&C,10.0,2459683.254707523,2022-04-13T18:06:46.73,/home/phys/astro8/MJArchive/octans/20220413/Dark-000110.fit,
Dark-000810,B&C,10.0,2459683.2558265044,2022-04-13T18:08:23.41,/home/phys/astro8/MJArchive/octans/20220413/Dark-000810.fit,
Dark-0011,B&C,2.0,2459686.941782523,2022-04-17T10:36:10.01,/home/phys/astro8/MJArchive/octans/20220417/Dark-0011.fit,
Dark-0018300,B&C,300.0,2459683.838529398,2022-04-14T08:07:28.94,/home/phys/astro8/MJArchive/octans/20220414/Dark-0018300.fit,
dark-0052,B&C,4.0,2459687.28557338,2022-04-17T18:51:13.54,/home/phys/astro8/MJArchive/octans/20220417/dark-0052.fit,
dark-0033,B&C,0.0,2459605.7754728007,2022-01-26T06:36:40.85,/home/phys/astro8/MJArchive/octans/20220126/dark-0033.fit,
Dark-0018,B&C,10.0,2459686.983287847,2022-04-17T11:35:56.07,/home/phys/astro8/MJArchive/octans/20220417/Dark-0018.fit,
dark-0008_10,B&C,10.0,2459825.889182755,2022-09-03T09:20:25.39,/home/phys/astro8/MJArchive/octans/20220903/dark-0008_10.fit,
Darks_20220829-0002d10,B&C,10.0,2459821.294086921,2022-08-29T19:03:29.11,/home/phys/astro8/MJArchive/octans/20220829/Darks_20220829-0002d10.fit,
dark-0053,B&C,4.0,2459687.2856637733,2022-04-17T18:51:21.35,/home/phys/astro8/MJArchive/octans/20220417/dark-0053.fit,
Dark-0005300,B&C,300.0,2459683.275632639,2022-04-13T18:36:54.66,/home/phys/astro8/MJArchive/octans/20220413/Dark-0005300.fit,
Dark-0001300,B&C,300.0,2459683.261565162,2022-04-13T18:16:39.23,/home/phys/astro8/MJArchive/octans/20220413/Dark-0001300.fit,
Darks_20220829-0003d5,B&C,5.0,2459821.299266204,2022-08-29T19:10:56.60,/home/phys/astro8/MJArchive/octans/20220829/Darks_20220829-0003d5.fit,
dark-0012_10,B&C,10.0,2459825.9083469906,2022-09-03T09:48:01.18,/home/phys/astro8/MJArchive/octans/20220903/dark-0012_10.fit,
Darks_20220829-0010d2,B&C,2.0,2459821.336493056,2022-08-29T20:04:33.00,/home/phys/astro8/MJArchive/octans/20220829/Darks_20220829-0010d2.fit,
dark-0001_120,B&C,120.0,2459611.1644623843,2022-01-31T15:56:49.55,/home/phys/astro8/MJArchive/octans/20220131/dark-0001_120.fit,
dark-0003_60,B&C,60.0,2459611.175103472,2022-01-31T16:12:08.94,/home/phys/astro8/MJArchive/octans/20220131/dark-0003_60.fit,
Dark-0021,B&C,10.0,2459686.983767477,2022-04-17T11:36:37.51,/home/phys/astro8/MJArchive/octans/20220417/Dark-0021.fit,
dark_20220909-0017_15,B&C,15.0,2459831.880954514,2022-09-09T09:08:34.47,/home/phys/astro8/MJArchive/octans/20220909/dark_20220909-0017_15.fit,
dark-0081,B&C,1.5,2459687.287810069,2022-04-17T18:54:26.79,/home/phys/astro8/MJArchive/octans/20220417/dark-0081.fit,
dark_20220830-0014300,B&C,300.0,2459822.248879861,2022-08-30T17:58:23.22,/home/phys/astro8/MJArchive/octans/20220830/dark_20220830-0014300.fit,
Dark-00105,B&C,5.0,2459683.81303044,2022-04-14T07:30:45.83,/home/phys/astro8/MJArchive/octans/20220414/Dark-00105.fit,
dark-0005_10,B&C,10.0,2459825.882371991,2022-09-03T09:10:36.94,/home/phys/astro8/MJArchive/octans/20220903/dark-0005_10.fit,
Dark-0022,B&C,10.0,2459687.893914005,2022-04-18T09:27:14.17,/home/phys/astro8/MJArchive/octans/20220418/Dark-0022.fit,
dark-0017_150,B&C,150.0,2459825.92896331,2022-09-03T10:17:42.43,/home/phys/astro8/MJArchive/octans/20220903/dark-0017_150.fit,
dark-0035,B&C,15.0,2459687.282349884,2022-04-17T18:46:35.03,/home/phys/astro8/MJArchive/octans/20220417/dark-0035.fit,
dark-0007,B&C,2.0,2459686.268471065,2022-04-16T18:26:35.90,/home/phys/astro8/MJArchive/octans/20220416/dark-0007.fit,
dark-0012,B&C,300.0,2459605.7605219907,2022-01-26T06:15:09.10,/home/phys/astro8/MJArchive/octans/20220126/dark-0012.fit,
Dark-0019,B&C,4.0,2459686.282470486,2022-04-16T18:46:45.45,/home/phys/astro8/MJArchive/octans/20220416/Dark-0019.fit,
Dark-00155,B&C,5.0,2459683.831187153,2022-04-14T07:56:54.57,/home/phys/astro8/MJArchive/octans/20220414/Dark-00155.fit,
dark_20220830-0003150,B&C,150.0,2459822.2239087964,2022-08-30T17:22:25.72,/home/phys/astro8/MJArchive/octans/20220830/dark_20220830-0003150.fit,
Dark-0017,B&C,10.0,2459686.9831280094,2022-04-17T11:35:42.26,/home/phys/astro8/MJArchive/octans/20220417/Dark-0017.fit,
dark-0054,B&C,4.0,2459687.2857541665,2022-04-17T18:51:29.16,/home/phys/astro8/MJArchive/octans/20220417/dark-0054.fit,
Dark-0013,B&C,2.0,2459686.94191713,2022-04-17T10:36:21.64,/home/phys/astro8/MJArchive/octans/20220417/Dark-0013.fit,
Dark-0014,B&C,2.0,2459686.941984375,2022-04-17T10:36:27.45,/home/phys/astro8/MJArchive/octans/20220417/Dark-0014.fit,
dark-0005_120,B&C,120.0,2459825.88253206,2022-09-03T09:10:50.77,/home/phys/astro8/MJArchive/octans/20220903/dark-0005_120.fit,
dark-0002_10,B&C,10.0,2459825.876325347,2022-09-03T09:01:54.51,/home/phys/astro8/MJArchive/octans/20220903/dark-0002_10.fit,
dark-0003_60,B&C,60.0,2459606.7094086804,2022-01-27T05:01:32.91,/home/phys/astro8/MJArchive/octans/20220127/dark-0003_60.fit,
dark_20220830-0019300,B&C,300.0,2459822.2664666665,2022-08-30T18:23:42.72,/home/phys/astro8/MJArchive/octans/20220830/dark_20220830-0019300.fit,
Darks_20220829-0009d10,B&C,10.0,2459821.3310525464,2022-08-29T19:56:42.94,/home/phys/astro8/MJArchive/octans/20220829/Darks_20220829-0009d10.fit,
dark-0002_120,B&C,120.0,2459606.702329745,2022-01-27T04:51:21.29,/home/phys/astro8/MJArchive/octans/20220127/dark-0002_120.fit,
dark-0015,B&C,300.0,2459605.7710709493,2022-01-26T06:30:20.53,/home/phys/astro8/MJArchive/octans/20220126/dark-0015.fit,
Dark-0002300,B&C,300.0,2459683.265082176,2022-04-13T18:21:43.10,/home/phys/astro8/MJArchive/octans/20220413/Dark-0002300.fit,
Dark-000760,B&C,60.0,2459684.247994329,2022-04-14T17:57:06.71,/home/phys/astro8/MJArchive/octans/20220414/Dark-000760.fit,
Dark-0008,B&C,10.0,2459687.891654167,2022-04-18T09:23:58.92,/home/phys/astro8/MJArchive/octans/20220418/Dark-0008.fit,
dark-0014_10,B&C,10.0,2459825.918399074,2022-09-03T10:02:29.68,/home/phys/astro8/MJArchive/octans/20220903/dark-0014_10.fit,
Dark-00195,B&C,5.0,2459683.845666204,2022-04-14T08:17:45.56,/home/phys/astro8/MJArchive/octans/20220414/Dark-00195.fit,
Dark-0025,B&C,10.0,2459686.9844076387,2022-04-17T11:37:32.82,/home/phys/astro8/MJArchive/octans/20220417/Dark-0025.fit,
dark-0013_10,B&C,10.0,2459825.9144625,2022-09-03T09:56:49.56,/home/phys/astro8/MJArchive/octans/20220903/dark-0013_10.fit,
