name,band,telescope,exptime,jd,date,filename,note
flats_20220904-0007_Ha,Halpha,B&C,10.0,2459827.2901719906,2022-09-04T18:57:50.86,/home/phys/astro8/MJArchive/octans/20220904/flats_20220904-0007_Ha.fit,good
flat-0008V,V,,7.0,2459610.213809028,2022-01-30T17:07:53.10,/home/phys/astro8/MJArchive/octans/20220130/flat-0008V.fit,good
flats_20220905-0006_Ha,Halpha,B&C,8.0,2459828.28808044,2022-09-05T18:54:50.15,/home/phys/astro8/MJArchive/octans/20220905/flats_20220905-0006_Ha.fit,good
flats_20220904-0015_i,i,B&C,1.0,2459827.2806689814,2022-09-04T18:44:09.80,/home/phys/astro8/MJArchive/octans/20220904/flats_20220904-0015_i.fit,good
FlatDome-0007,bad,bad,-999.0,-999.0,bad,bad,bad
FlatDome-0004g,g,B&C,5.0,2459687.8688828703,2022-04-18T08:51:11.48,/home/phys/astro8/MJArchive/octans/20220417/FlatDome-0004g.fit,good
flats_20220904-0006_r,r,B&C,7.0,2459827.275407176,2022-09-04T18:36:35.18,/home/phys/astro8/MJArchive/octans/20220904/flats_20220904-0006_r.fit,good
Flat20220908-0002_g,g,B&C,10.0,2459830.7779509258,2022-09-08T06:40:14.96,/home/phys/astro8/MJArchive/octans/20220908/Flat20220908-0002_g.fit,over
flat-0001r,r,,10.0,2459605.8596877316,2022-01-26T08:37:57.02,/home/phys/astro8/MJArchive/octans/20220126/flat-0001r.fit,over
flat-0012g,g,,25.0,2459610.2075314815,2022-01-30T16:58:50.72,/home/phys/astro8/MJArchive/octans/20220130/flat-0012g.fit,over
flat-0001V,V,,6.0,2459617.218812384,2022-02-06T17:15:05.39,/home/phys/astro8/MJArchive/octans/20220206/flat-0001V.fit,good
flats_20220906-0001_V,V,B&C,3.5,2459828.775200463,2022-09-06T06:36:17.32,/home/phys/astro8/MJArchive/octans/20220906/flats_20220906-0001_V.fit,good
flat-0013r,r,,6.0,2459605.8616408566,2022-01-26T08:40:45.77,/home/phys/astro8/MJArchive/octans/20220126/flat-0013r.fit,good
flat-0001r,r,,5.0,2459603.8735268516,2022-01-24T08:57:52.72,/home/phys/astro8/MJArchive/octans/20220124/flat-0001r.fit,lower
flat-0009,r,,7.0,2459606.85871794,2022-01-27T08:36:33.23,/home/phys/astro8/MJArchive/octans/20220127/flat-0009.fit,good
Flat-0014uu,u,,60.0,2458725.6876157406,2019-08-30T04:30:10,/home/phys/astro8/MJArchive/octans/20190830/Flat-0014uu.fit,lower
flats_20220906-0001_r,r,B&C,6.0,2459828.7769907406,2022-09-06T06:38:52.00,/home/phys/astro8/MJArchive/octans/20220906/flats_20220906-0001_r.fit,good
Flat-001130,bad,bad,-999.0,-999.0,bad,bad,bad
