name,band,chip,telescope,readout,exptime,jd,date,field,filename,flat,dark,tdiff_flat,tdiff_dark,zp,zperr,maglim5,maglim3,savename,Unnamed: 0,raw_filename
A13030-C2019E3-R-6,R,6,MOA-II,-1,60,2459984.9280495,2023-02-09,C2019E3,,/home/phys/astronomy/rri38/moa/data/master/flat/F2459983_30d_R_6.fits.gz,/home/phys/astronomy/rri38/moa/data/master/dark/D23477-60-m-6.fits.gz,1.9280495001003144,0.1309209996834397,24.9979,0.0402,16.9991,17.5192,/home/users/zgl12/Image_Processing/Test_Save_Pouakai/MOA_test/cal/A13030-C2019E3-R-6_wcs.fits.gz,0.0,/home/phys/astro8/MJArchive/MOA/ALERT/2023/A13030-C2019E3-R-6.fit.gz
A13030-C2019E3-R-7,R,7,MOA-II,-1,60,2459984.9280495,2023-02-09,C2019E3,,/home/phys/astronomy/rri38/moa/data/master/flat/F2459983_30d_R_7.fits.gz,/home/phys/astronomy/rri38/moa/data/master/dark/D23477-60-m-7.fits.gz,1.9280495001003144,0.1309209996834397,25.0018,0.0458,16.1222,16.6762,/home/users/zgl12/Image_Processing/Test_Save_Pouakai/MOA_test/cal/A13030-C2019E3-R-7_wcs.fits.gz,0.0,/home/phys/astro8/MJArchive/MOA/ALERT/2023/A13030-C2019E3-R-7.fit.gz
A13030-C2019E3-R-5,R,5,MOA-II,-1,60,2459984.9280495,2023-02-09,C2019E3,,/home/phys/astronomy/rri38/moa/data/master/flat/F2459983_30d_R_5.fits.gz,/home/phys/astronomy/rri38/moa/data/master/dark/D23477-60-m-5.fits.gz,1.9280495001003144,0.1309209996834397,25.0007,0.0091,17.6291,18.1699,/home/users/zgl12/Image_Processing/Test_Save_Pouakai/MOA_test/cal/A13030-C2019E3-R-5_wcs.fits.gz,0.0,/home/phys/astro8/MJArchive/MOA/ALERT/2023/A13030-C2019E3-R-5.fit.gz
A13030-C2019E3-R-3,R,3,MOA-II,-1,60,2459984.9280495,2023-02-09,C2019E3,,/home/phys/astronomy/rri38/moa/data/master/flat/F2459983_30d_R_3.fits.gz,/home/phys/astronomy/rri38/moa/data/master/dark/D23477-60-m-3.fits.gz,1.9280495001003144,0.1309209996834397,24.9998,0.0111,17.4975,18.0417,/home/users/zgl12/Image_Processing/Test_Save_Pouakai/MOA_test/cal/A13030-C2019E3-R-3_wcs.fits.gz,0.0,/home/phys/astro8/MJArchive/MOA/ALERT/2023/A13030-C2019E3-R-3.fit.gz
A13030-C2019E3-R-2,R,2,MOA-II,-1,60,2459984.9280495,2023-02-09,C2019E3,,/home/phys/astronomy/rri38/moa/data/master/flat/F2459983_30d_R_2.fits.gz,/home/phys/astronomy/rri38/moa/data/master/dark/D23477-60-m-2.fits.gz,1.9280495001003144,0.1309209996834397,25.0003,0.0097,17.3708,17.9165,/home/users/zgl12/Image_Processing/Test_Save_Pouakai/MOA_test/cal/A13030-C2019E3-R-2_wcs.fits.gz,0.0,/home/phys/astro8/MJArchive/MOA/ALERT/2023/A13030-C2019E3-R-2.fit.gz
A13030-C2019E3-R-10,R,10,MOA-II,-1,60,2459984.9280495,2023-02-09,C2019E3,,/home/phys/astronomy/rri38/moa/data/master/flat/F2459983_30d_R_10.fits.gz,/home/phys/astronomy/rri38/moa/data/master/dark/D23477-60-m-10.fits.gz,1.9280495001003144,0.1309209996834397,24.9991,0.075,15.8518,16.4061,/home/users/zgl12/Image_Processing/Test_Save_Pouakai/MOA_test/cal/A13030-C2019E3-R-10_wcs.fits.gz,0.0,/home/phys/astro8/MJArchive/MOA/ALERT/2023/A13030-C2019E3-R-10.fit.gz
A13030-C2019E3-R-1,R,1,MOA-II,-1,60,2459984.9280495,2023-02-09,C2019E3,,/home/phys/astronomy/rri38/moa/data/master/flat/F2459983_30d_R_1.fits.gz,/home/phys/astronomy/rri38/moa/data/master/dark/D23477-60-m-1.fits.gz,1.9280495001003144,0.1309209996834397,24.9991,0.0062,17.568,18.1228,/home/users/zgl12/Image_Processing/Test_Save_Pouakai/MOA_test/cal/A13030-C2019E3-R-1_wcs.fits.gz,0.0,/home/phys/astro8/MJArchive/MOA/ALERT/2023/A13030-C2019E3-R-1.fit.gz
A13030-C2019E3-R-1,R,1,MOA-II,-1,60,2459984.9280495,2023-02-09,C2019E3,,/home/phys/astronomy/rri38/moa/data/master/flat/F2459983_30d_R_1.fits.gz,/home/phys/astronomy/rri38/moa/data/master/dark/D23477-60-m-1.fits.gz,1.9280495001003144,0.1309209996834397,24.9991,0.0062,17.568,18.1228,/home/users/zgl12/Image_Processing/Test_Save_Pouakai/MOA_test/cal/A13030-C2019E3-R-1_wcs.fits.gz,0.0,/home/phys/astro8/MJArchive/MOA/ALERT/2023/A13030-C2019E3-R-1.fit.gz
A13030-C2019E3-R-2,R,2,MOA-II,-1,60,2459984.9280495,2023-02-09,C2019E3,,/home/phys/astronomy/rri38/moa/data/master/flat/F2459983_30d_R_2.fits.gz,/home/phys/astronomy/rri38/moa/data/master/dark/D23477-60-m-2.fits.gz,1.9280495001003144,0.1309209996834397,25.0003,0.0097,17.3708,17.9165,/home/users/zgl12/Image_Processing/Test_Save_Pouakai/MOA_test/cal/A13030-C2019E3-R-2_wcs.fits.gz,0.0,/home/phys/astro8/MJArchive/MOA/ALERT/2023/A13030-C2019E3-R-2.fit.gz
A13030-C2019E3-R-3,R,3,MOA-II,-1,60,2459984.9280495,2023-02-09,C2019E3,,/home/phys/astronomy/rri38/moa/data/master/flat/F2459983_30d_R_3.fits.gz,/home/phys/astronomy/rri38/moa/data/master/dark/D23477-60-m-3.fits.gz,1.9280495001003144,0.1309209996834397,24.9998,0.0111,17.4975,18.0417,/home/users/zgl12/Image_Processing/Test_Save_Pouakai/MOA_test/cal/A13030-C2019E3-R-3_wcs.fits.gz,0.0,/home/phys/astro8/MJArchive/MOA/ALERT/2023/A13030-C2019E3-R-3.fit.gz
