name,telescope,exptime,jd,date,chip,band,readout,filename,note,field
F5893-10-R-a-5,MOA-II,10,2459542.861788,2021-11-24,5,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5893-10-R-a-5.fit.gz,lower,flat
F5942-121-R-a-3,MOA-II,121,2459560.907763,2021-12-12,3,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5942-121-R-a-3.fit.gz,lower,flat_round
F5880-5-R-a-5,MOA-II,5,2459542.849704,2021-11-24,5,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5880-5-R-a-5.fit.gz,over,flat
F6162-121-R-b-8,MOA-II,121,2459983.171605,2023-02-07,8,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2023/F6162-121-R-b-8.fit.gz,good,flat_round
F6030-121-R-b-1,MOA-II,121,2459830.016485,2022-09-07,1,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6030-121-R-b-1.fit.gz,good,flat_round
F6103-121-R-a-3,MOA-II,121,2459908.131191,2022-11-24,3,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6103-121-R-a-3.fit.gz,over,flat_round
F6114-121-R-b-9,MOA-II,121,2459921.99916,2022-12-08,9,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6114-121-R-b-9.fit.gz,good,flat_round
F6147-121-R-b-3,MOA-II,121,2459961.965964,2023-01-17,3,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2023/F6147-121-R-b-3.fit.gz,good,flat_round
F5993-121-R-c-2,MOA-II,121,2459705.898441,2022-05-06,2,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F5993-121-R-c-2.fit.gz,good,flat_round
F6131-5-R-a-9,MOA-II,5,2459928.860668,2022-12-15,9,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6131-5-R-a-9.fit.gz,over,flat
F6146-121-R-c-2,MOA-II,121,2459961.957551,2023-01-17,2,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2023/F6146-121-R-c-2.fit.gz,over,flat_round
F5993-121-R-a-10,MOA-II,121,2459705.894705,2022-05-06,10,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F5993-121-R-a-10.fit.gz,good,flat_round
F5829-121-R-a-2,MOA-II,121,2459268.108264,2021-02-22,2,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5829-121-R-a-2.fit.gz,good,flat_round
F6092-121-R-a-9,MOA-II,121,2459902.924549,2022-11-19,9,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2022/F6092-121-R-a-9.fit.gz,good,flat_round
F5784-30-R-a-4,MOA-II,30,2459263.214701,2021-02-17,4,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5784-30-R-a-4.fit.gz,lower,flat
F5851-121-R-c-2,MOA-II,121,2459463.224604,2021-09-05,2,R,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5851-121-R-c-2.fit.gz,good,flat_round
F5861-121-V-b-9,MOA-II,121,2459521.033274,2021-11-02,9,V,-1,/home/phys/astro8/MJArchive/MOA/FLAT/2021/F5861-121-V-b-9.fit.gz,good,flat_round
