name,telescope,exptime,jd,date,chip,readout,filename,nimages,note,readodut
D24680-200-m-1,MOA-II,200,2460542.296399833,        2024-08-19,1,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24680-200-m-1.fits.gz,3,good,
D24680-200-m-2,MOA-II,200,2460542.2963998336,        2024-08-19,2,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24680-200-m-2.fits.gz,3,good,
D24680-200-m-3,MOA-II,200,2460542.296399833,        2024-08-19,3,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24680-200-m-3.fits.gz,3,good,
D24680-200-m-4,MOA-II,200,2460542.2963998336,        2024-08-19,4,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24680-200-m-4.fits.gz,3,good,
D24680-200-m-5,MOA-II,200,2460542.2963998336,        2024-08-19,5,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24680-200-m-5.fits.gz,3,good,
D24680-200-m-6,MOA-II,200,2460542.2963998336,        2024-08-19,6,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24680-200-m-6.fits.gz,3,good,
D24680-200-m-7,MOA-II,200,2460542.296399833,        2024-08-19,7,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24680-200-m-7.fits.gz,3,good,
D24680-200-m-8,MOA-II,200,2460542.2963998336,        2024-08-19,8,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24680-200-m-8.fits.gz,3,good,
D24680-200-m-9,MOA-II,200,2460542.2963998336,        2024-08-19,9,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24680-200-m-9.fits.gz,3,good,
D24680-200-m-10,MOA-II,200,2460542.296399833,        2024-08-19,10,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24680-200-m-10.fits.gz,3,good,
D24679-60-m-1,MOA-II,60,2460542.2906190003,        2024-08-19,1,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24679-60-m-1.fits.gz,3,good,
D24679-60-m-2,MOA-II,60,2460542.2906190003,        2024-08-19,2,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24679-60-m-2.fits.gz,3,good,
D24679-60-m-3,MOA-II,60,2460542.2906190003,        2024-08-19,3,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24679-60-m-3.fits.gz,3,good,
D24679-60-m-4,MOA-II,60,2460542.2906190003,        2024-08-19,4,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24679-60-m-4.fits.gz,3,good,
D24679-60-m-5,MOA-II,60,2460542.2906190003,        2024-08-19,5,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24679-60-m-5.fits.gz,3,good,
D24679-60-m-6,MOA-II,60,2460542.2906190003,        2024-08-19,6,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24679-60-m-6.fits.gz,3,good,
D24679-60-m-7,MOA-II,60,2460542.2906190003,        2024-08-19,7,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24679-60-m-7.fits.gz,3,good,
D24679-60-m-8,MOA-II,60,2460542.2906190003,        2024-08-19,8,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24679-60-m-8.fits.gz,3,good,
D24679-60-m-9,MOA-II,60,2460542.2906190003,        2024-08-19,9,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24679-60-m-9.fits.gz,3,good,
D24679-60-m-10,MOA-II,60,2460542.2906190003,        2024-08-19,10,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24679-60-m-10.fits.gz,3,good,
D24678-0-m-1,MOA-II,0,2460542.2887385003,        2024-08-19,1,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24678-0-m-1.fits.gz,1,bad,
D24678-0-m-2,MOA-II,0,2460542.2887385003,        2024-08-19,2,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24678-0-m-2.fits.gz,1,bad,
D24678-0-m-3,MOA-II,0,2460542.2887385003,        2024-08-19,3,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24678-0-m-3.fits.gz,1,bad,
D24678-0-m-4,MOA-II,0,2460542.2887385003,        2024-08-19,4,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24678-0-m-4.fits.gz,1,bad,
D24678-0-m-5,MOA-II,0,2460542.2887385003,        2024-08-19,5,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24678-0-m-5.fits.gz,1,bad,
D24678-0-m-6,MOA-II,0,2460542.2887385003,        2024-08-19,6,-1.0,/home/phys/astronomy/rri38/moa/data/master/dark/D24678-0-m-6.fits.gz,1,bad,
