name,telescope,exptime,jd,date,band,chip,readout,filename,nimages,flattype,note,field,flat_type
F2460478_30d_R_99,MOA-II,121,2460478,        2024-06-16,R,99,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460478_30d_R_99.fits.gz,10,,bad,        flat_round,dome
F2460478_30d_R_9,MOA-II,121,2460478,        2024-06-16,R,9,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460478_30d_R_9.fits.gz,10,,good,        flat_round,dome
F2460478_30d_R_8,MOA-II,121,2460478,        2024-06-16,R,8,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460478_30d_R_8.fits.gz,10,,good,        flat_round,dome
F2460478_30d_R_7,MOA-II,121,2460478,        2024-06-16,R,7,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460478_30d_R_7.fits.gz,10,,good,        flat_round,dome
F2460478_30d_R_6,MOA-II,121,2460478,        2024-06-16,R,6,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460478_30d_R_6.fits.gz,10,,good,        flat_round,dome
F2460478_30d_R_5,MOA-II,121,2460478,        2024-06-16,R,5,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460478_30d_R_5.fits.gz,10,,good,        flat_round,dome
F2460478_30d_R_4,MOA-II,121,2460478,        2024-06-16,R,4,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460478_30d_R_4.fits.gz,10,,good,        flat_round,dome
F2460478_30d_R_3,MOA-II,121,2460478,        2024-06-16,R,3,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460478_30d_R_3.fits.gz,10,,good,        flat_round,dome
F2460478_30d_R_2,MOA-II,121,2460478,        2024-06-16,R,2,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460478_30d_R_2.fits.gz,10,,good,        flat_round,dome
F2460478_30d_R_10,MOA-II,121,2460478,        2024-06-16,R,10,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460478_30d_R_10.fits.gz,10,,good,        flat_round,dome
F2460478_30d_R_1,MOA-II,121,2460478,        2024-06-16,R,1,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460478_30d_R_1.fits.gz,10,,good,        flat_round,dome
F2460478_30d_R_0,MOA-II,121,2460478,        2024-06-16,R,0,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460478_30d_R_0.fits.gz,10,,bad,        flat_round,dome
F2460218_30d_R_99,MOA-II,121,2460218,        2023-09-01,R,99,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460218_30d_R_99.fits.gz,10,,bad,        flat_round,dome
F2460218_30d_R_9,MOA-II,121,2460218,        2023-09-30,R,9,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460218_30d_R_9.fits.gz,10,,good,        flat_round,dome
F2460218_30d_R_8,MOA-II,121,2460218,        2023-09-30,R,8,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460218_30d_R_8.fits.gz,10,,good,        flat_round,dome
F2460218_30d_R_7,MOA-II,121,2460218,        2023-09-30,R,7,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460218_30d_R_7.fits.gz,10,,good,        flat_round,dome
F2460218_30d_R_6,MOA-II,121,2460218,        2023-09-01,R,6,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460218_30d_R_6.fits.gz,10,,good,        flat_round,dome
F2460218_30d_R_5,MOA-II,121,2460218,        2023-09-01,R,5,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460218_30d_R_5.fits.gz,10,,good,        flat_round,dome
F2460218_30d_R_4,MOA-II,121,2460218,        2023-09-01,R,4,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460218_30d_R_4.fits.gz,10,,good,        flat_round,dome
F2460218_30d_R_3,MOA-II,121,2460218,        2023-09-30,R,3,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460218_30d_R_3.fits.gz,10,,good,        flat_round,dome
F2460218_30d_R_2,MOA-II,121,2460218,        2023-09-30,R,2,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460218_30d_R_2.fits.gz,10,,good,        flat_round,dome
F2460218_30d_R_10,MOA-II,121,2460218,        2023-09-01,R,10,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460218_30d_R_10.fits.gz,10,,good,        flat_round,dome
F2460218_30d_R_1,MOA-II,121,2460218,        2023-09-01,R,1,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460218_30d_R_1.fits.gz,10,,good,        flat_round,dome
F2460218_30d_R_0,MOA-II,121,2460218,        2023-09-01,R,0,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460218_30d_R_0.fits.gz,10,,bad,        flat_round,dome
F2460193_30d_R_99,MOA-II,121,2460193,        2023-09-01,R,99,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460193_30d_R_99.fits.gz,10,,bad,        flat_round,dome
F2460193_30d_R_9,MOA-II,121,2460193,        2023-09-01,R,9,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460193_30d_R_9.fits.gz,10,,bad,        flat_round,dome
F2460193_30d_R_8,MOA-II,121,2460193,        2023-09-06,R,8,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460193_30d_R_8.fits.gz,6,,bad,        flat_round,dome
F2460193_30d_R_7,MOA-II,121,2460193,        2023-09-01,R,7,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460193_30d_R_7.fits.gz,10,,bad,        flat_round,dome
F2460193_30d_R_6,MOA-II,121,2460193,        2023-09-01,R,6,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460193_30d_R_6.fits.gz,10,,bad,        flat_round,dome
F2460193_30d_R_5,MOA-II,121,2460193,        2023-09-01,R,5,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460193_30d_R_5.fits.gz,10,,bad,        flat_round,dome
F2460193_30d_R_4,MOA-II,121,2460193,        2023-09-01,R,4,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460193_30d_R_4.fits.gz,10,,bad,        flat_round,dome
F2460193_30d_R_3,MOA-II,121,2460193,        2023-09-01,R,3,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460193_30d_R_3.fits.gz,10,,bad,        flat_round,dome
F2460193_30d_R_2,MOA-II,121,2460193,        2023-09-06,R,2,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460193_30d_R_2.fits.gz,10,,bad,        flat_round,dome
F2460193_30d_R_10,MOA-II,121,2460193,        2023-09-01,R,10,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460193_30d_R_10.fits.gz,10,,bad,        flat_round,dome
F2460193_30d_R_1,MOA-II,121,2460193,        2023-09-01,R,1,-1,/home/phys/astronomy/rri38/moa/data/master/flat/F2460193_30d_R_1.fits.gz,10,,bad,        flat_round,dome
