name,chip,exptime,jd,date,filename,note
D21284-60-m-1,1,60,2459257.0833456665,        2021-02-11,/home/users/rri38/data/dark/D21284-60-m-1.fits.gz,
D21284-60-m-2,2,60,2459257.0833456665,        2021-02-11,/home/users/rri38/data/dark/D21284-60-m-2.fits.gz,
D21284-60-m-3,3,60,2459257.0833456665,        2021-02-11,/home/users/rri38/data/dark/D21284-60-m-3.fits.gz,
D21284-60-m-4,4,60,2459257.0833456665,        2021-02-11,/home/users/rri38/data/dark/D21284-60-m-4.fits.gz,
D21284-60-m-5,5,60,2459257.0833456665,        2021-02-11,/home/users/rri38/data/dark/D21284-60-m-5.fits.gz,
D21284-60-m-6,6,60,2459257.0833456665,        2021-02-11,/home/users/rri38/data/dark/D21284-60-m-6.fits.gz,
D21284-60-m-7,7,60,2459257.0833456665,        2021-02-11,/home/users/rri38/data/dark/D21284-60-m-7.fits.gz,
D21284-60-m-8,8,60,2459257.0833456665,        2021-02-11,/home/users/rri38/data/dark/D21284-60-m-8.fits.gz,
D21284-60-m-9,9,60,2459257.0833456665,        2021-02-11,/home/users/rri38/data/dark/D21284-60-m-9.fits.gz,
D21284-60-m-10,10,60,2459257.0833456665,        2021-02-11,/home/users/rri38/data/dark/D21284-60-m-10.fits.gz,
D21405-0-m-1,1,0,2459281.253204,        2021-03-07,/home/users/rri38/data/dark/D21405-0-m-1.fits.gz,
D21405-0-m-2,2,0,2459281.253204,        2021-03-07,/home/users/rri38/data/dark/D21405-0-m-2.fits.gz,
D21405-0-m-3,3,0,2459281.253204,        2021-03-07,/home/users/rri38/data/dark/D21405-0-m-3.fits.gz,
D21682-120-m-1,1,120,2459351.3065286665,        2021-05-16,/home/users/rri38/data/dark/D21682-120-m-1.fits.gz,
D22404-0-m-1,1,0,2459547.1693033334,        2021-11-28,/home/users/rri38/data/dark/D22404-0-m-1.fits.gz,
D22404-0-m-2,2,0,2459547.1693033334,        2021-11-28,/home/users/rri38/data/dark/D22404-0-m-2.fits.gz,
D22404-0-m-3,3,0,2459547.1693033334,        2021-11-28,/home/users/rri38/data/dark/D22404-0-m-3.fits.gz,
D22404-0-m-4,4,0,2459547.1693033334,        2021-11-28,/home/users/rri38/data/dark/D22404-0-m-4.fits.gz,
D22404-0-m-5,5,0,2459547.1693033334,        2021-11-28,/home/users/rri38/data/dark/D22404-0-m-5.fits.gz,
D22404-0-m-6,6,0,2459547.1693033334,        2021-11-28,/home/users/rri38/data/dark/D22404-0-m-6.fits.gz,
D22404-0-m-7,7,0,2459547.1693033334,        2021-11-28,/home/users/rri38/data/dark/D22404-0-m-7.fits.gz,
D22404-0-m-8,8,0,2459547.1693033334,        2021-11-28,/home/users/rri38/data/dark/D22404-0-m-8.fits.gz,
D22403-60-m-1,1,60,2459547.165737,        2021-11-28,/home/users/rri38/data/dark/D22403-60-m-1.fits,
D22403-60-m-2,2,60,2459547.165737,        2021-11-28,/home/users/rri38/data/dark/D22403-60-m-2.fits,
D22403-60-m-3,3,60,2459547.165737,        2021-11-28,/home/users/rri38/data/dark/D22403-60-m-3.fits,
D22403-60-m-4,4,60,2459547.165737,        2021-11-28,/home/users/rri38/data/dark/D22403-60-m-4.fits,
D22403-60-m-5,5,60,2459547.165737,        2021-11-28,/home/users/rri38/data/dark/D22403-60-m-5.fits,
D22403-60-m-6,6,60,2459547.165737,        2021-11-28,/home/users/rri38/data/dark/D22403-60-m-6.fits,
